فضل قراءة القران الكريم,https://www.youtube.com/watch?v=Zrbx2nScagU&list=PLLw9vZtSqHMKKhu-5o2db4OoODdwq4Ag2,التجويد
رتل مع العفاسي,https://www.youtube.com/watch?v=B2Y8R5gK8r8&list=PL2hoGhz2jBSrBIlLd8RLEIJYKPANUEfqY,التجويد
التجويد المصور للشيخ أيمن السويد,https://youtu.be/H6WTnSZ6G-0?si=eFw7gcYjAFAw7R67,التجويد
سلسلة التجويد الميسر,https://www.youtube.com/watch?v=T4YpDqqVM8k&list=PLnQLAsLR_hgWGEU4zXRI14HwHXAFxdwWG,التجويد
قطوف من السنة,https://www.youtube.com/watch?v=j3Xf2g1lQCA&list=PLcTPa3CIueEoPdgEpaZIsSctxD8H6Qj-6,حديث شريف
قطوف من السنة حالات واتس,https://www.youtube.com/watch?v=wPn6jIlesh0&list=PLcTPa3CIueEr1UFKpQpMVIPPQDd0GwN-v,حديث شريف
الشيخ بدر المشاري درس السيرة النبوية,https://www.youtube.com/watch?v=tVPdysxXlcQ&list=PL_yGzeZL1u1kfhxSPXvssMwFSLkmRWkHB,السيرة النبوية
السيرة النبوية للشيخ نبيل العوضي,https://www.youtube.com/watch?v=05yU3VekToU&list=PL0E1AE0018C87AA4A,السيرة النبوية
السيرة النبوية - أحمد عامر,https://www.youtube.com/watch?v=A6_y0HuwSQw&list=PLSSxr3Rf2_X2oKwiy4UhzIdj4ACzB6dee,السيرة النبوية
 بداية رحلة حبيب الله (ص),https://www.youtube.com/watch?v=2xv-4IG0ddQ&list=PL0OWuEVJI0eNdy3edUeklKXbh4rmilatA,السيرة النبوية
حبيب الله جزء اول,https://www.youtube.com/watch?v=9okhIT6XYiE&list=PL0OWuEVJI0eOukZCR-cRim-B0nWFgXCx5,السيرة النبوية
حبيب الله جزء ثان,https://www.youtube.com/watch?v=7pZ2Dd7ZKVY&list=PL0OWuEVJI0eM-RM7QuaSGJcChLmPxkldN,السيرة النبوية
ملخص التاريخ الاسلامي وثائقي,https://www.youtube.com/watch?v=AQLLE0lTLoY&list=PL4ktAwQBN26gtF_M5LmXqOLAIy5Xbqpxa,التاريخ الاسلامى
أدام عليه السلام,https://www.youtube.com/watch?v=vpp_S4f3gBc&list=PL0OWuEVJI0eMBClvKiUYpoEhpu4lcchqD,قصص الانبياء
 نوح عليه السلام,https://www.youtube.com/watch?v=hvkvOjCJ64Y&list=PL0OWuEVJI0eOsbnyWham-LRWVsmwAroMe,قصص الانبياء
خليل الله,https://www.youtube.com/watch?v=cTjkHMyiG80&list=PL0OWuEVJI0eP5Wb3DHk_jADxEvjhdu60d,قصص الانبياء
كليم الله جزء اول,https://www.youtube.com/watch?v=SCBDIM_Q5HY&list=PL0OWuEVJI0eMPjA6UFS0VC8YAPhMZQqQi,قصص الانبياء
كليم الله جزء ثان,https://www.youtube.com/watch?v=3-mNK119k6I&list=PL0OWuEVJI0eN-vOw7YPnfn2adLTR56kMi,قصص الانبياء
 قصة النبى هود ,https://www.youtube.com/watch?v=VNBTPPQ3mXk&list=PL0OWuEVJI0ePm3lGBb4ZZkrGdoO193GB4,قصص الانبياء
مسلسل سليمان عليه السلام,https://www.youtube.com/watch?v=2c_5MIoxoQ4&list=PL0OWuEVJI0eNzsV8OdZuJG7Xnyd84KCB7,قصص الانبياء
 معجزات يوسف الصديق,https://www.youtube.com/watch?v=7IRc-J1NZGs&list=PL0OWuEVJI0ePojsle0N43P8NpvzshSjj4,قصص الانبياء
 الصديق - الجزء الاول,https://www.youtube.com/watch?v=_tmqzOwztrs&list=PL0OWuEVJI0eNUs73RSoTOvbZqc7LCbMsO,قصص الانبياء
الصديق - الجزء الثانى,https://www.youtube.com/watch?v=_V62nil8cUs&list=PL0OWuEVJI0eM5f15HI266cFMWkpjjzNPP,قصص الانبياء
 حبيب الله جزء اول,https://www.youtube.com/watch?v=9okhIT6XYiE&list=PL0OWuEVJI0eOukZCR-cRim-B0nWFgXCx5,قصص الانبياء
 حبيب الله جزء ثانى,https://www.youtube.com/watch?v=7pZ2Dd7ZKVY&list=PL0OWuEVJI0eM-RM7QuaSGJcChLmPxkldN,قصص الانبياء
أصحاب وصحابة,https://www.youtube.com/watch?v=9Bt5R2IGTrI&list=PL0OWuEVJI0eMUSU3hS4AI9yLuPTX_IR0j,الصحابة
سيرة الصحابة بدر المشارى,https://www.youtube.com/watch?v=a2B6WpaEXqk&list=PLXembS2IXuHcJNOfYmL6cy96x3ihhqRf_,الصحابة
الصحابة المبشرين بالجنة لنبيل العوضى,https://www.youtube.com/watch?v=WiidyoTjFA4&list=PLvcmArJ_Ib3Fts2Jo7RoqWZYqWWZMrvAn,الصحابة
الفقه الميسر للشيخ محمد العريفى,https://www.youtube.com/watch?v=yvnMZiANlO0&list=PL5FCCB3F4E3366935,الفقه
دروس الفقه اكادمية زاد,https://www.youtube.com/watch?v=a6WKdVePfkQ&list=PLH4NxcjPhgknH9jBm_K5Pv0uqQwqmNJgV,الفقه
تعليم الصلاة,https://www.youtube.com/watch?v=d5LoWXARpvg&list=PLLw9vZtSqHMLwpE-zSJAp0i09KNk-4F0V,الفقه
تعليم الوضوء,https://www.youtube.com/watch?v=HMERx-0_Koo&list=PLLw9vZtSqHMKGDoX33m0efu9qS8h1FkAr,الفقه
تعليم الحج,https://www.youtube.com/watch?v=hb2KwtxJpj8&list=PLLw9vZtSqHML4OqoGIDcoPW1g6o5n3qJE,الفقه